Name,Brand,SKU,Barcode,Category,CurrentStock,Unit,CostPrice,SellingPrice,ExpiryDate,Aisle,TempZone
Zero-Sugar Masala Chai Biodegradable Garbage Bags 1L,Saffola Foods,HOUS-000001,890100786053,Household & Personal Care,67,packet,266.44,362.47,2027-07-08,Aisle 12,ambient
Grass-Fed Cardamom Spiced Yukon Gold Potatoes 500ml,Heritage Naturals,FRES-000002,890100786054,Fresh Produce,199,bag,91.11,150.58,2026-09-16,Aisle 01,ambient
Gluten-Free Butter Murukku 250ml,Vedic Fresh Mills,SNAC-000003,890100786055,Snacks & Confectionery,193,bag,19.10,30.17,2026-08-29,Aisle 09,ambient
Valley Fresh Red Chilli & Garlic Garlic Naan Frozen 4pk Value Pack,Kaveri Milling,FROZ-000004,890100786056,Frozen Foods,232,packet,282.93,471.23,2027-06-28,Aisle 08,frozen
Heritage Buffalo Milk Snack Pack,SunBrite Springs,DAIR-000005,890100786057,Dairy & Eggs,236,bottle,162.51,280.55,2026-09-19,Aisle 02,chilled
Aged Sweet Corn Kernels 50g,Bhoomi Farms,FROZ-000006,890100786058,Frozen Foods,105,box,141.34,190.48,2026-11-18,Aisle 08,frozen
Free-Range Golden Ginger Lentils Red Masoor 200g,Organic Tattva Farms,PANT-000007,890100786059,Pantry & Dry Goods,132,packet,615.18,1006.57,2026-08-30,Aisle 06,ambient
Valley Fresh Smoked Paprika French Fries Crispy 2L,Pashmina Foods,FROZ-000008,890100786060,Frozen Foods,111,tub,74.99,126.20,2027-01-21,Aisle 09,frozen
Zero-Sugar Garlic & Herb Feta Cheese 2L,Desi Organics Kitchens,DAIR-000009,890100786061,Dairy & Eggs,141,pack,31.75,50.03,2026-09-15,Aisle 02,chilled
Farm-Fresh Aloo Tikki 8-Pack 1kg,Vedic Fresh Organics,FROZ-000010,890100786062,Frozen Foods,105,tub,108.29,197.53,2026-08-28,Aisle 08,frozen
Grass-Fed Nagpur Orange Mixed Berries Frozen 500ml,FarmGold Agro,FROZ-000011,890100786063,Frozen Foods,165,bag,132.10,177.94,2027-05-27,Aisle 08,frozen
Wildcrafted Cold-Pressed Groundnut Oil Value Pack,Fortune Milling,PANT-000012,890100786064,Pantry & Dry Goods,238,packet,371.64,516.35,2028-05-30,Aisle 06,ambient
Authentic Paneer Paratha Frozen 10kg,Dabur Foods,FROZ-000013,890100786065,Frozen Foods,217,box,160.61,248.44,2027-05-05,Aisle 08,frozen
Cured Garlic & Herb Avocados 150g,Heritage Co.,FRES-000014,890100786066,Fresh Produce,77,bunch,85.90,123.05,2026-09-11,Aisle 02,chilled
Authentic Truffle Infused Clove & Mint Toothpaste 750g,Desi Organics Dairy,HOUS-000015,890100786067,Household & Personal Care,214,packet,427.39,612.09,2027-10-30,Aisle 11,ambient
Valley Fresh Aloo Tikki 8-Pack 4-Pack,Desi Organics Provisions,FROZ-000016,890100786068,Frozen Foods,83,box,291.08,497.24,2027-04-02,Aisle 08,frozen
Homestyle Sourdough Loaf 100g,Royal Indian Plantations,BAKE-000017,890100786069,Bakery & Deli,44,box,288.78,454.23,2026-08-29,Aisle 03,chilled
Unpolished Golden Ginger Shampoo Anti-Dandruff 350g,Pure Vedic Plantations,HOUS-000018,890100786070,Household & Personal Care,19,tube,434.37,640.21,2028-09-29,Aisle 11,ambient
Zero-Sugar Matcha Green Tea Fruit Cake Slice 250ml,Royal Indian Goods,BAKE-000019,890100786071,Bakery & Deli,159,box,115.11,208.01,2026-09-06,Aisle 04,ambient
